delay_depth.origin,delay_depth.inch_0,delay_depth.inch_0_25,delay_depth.inch_0_5,delay_depth.inch_1,delay_depth.inch_1_5,delay_depth.inch_2,delay_depth.inch_3,delay_depth.inch_4
ATL,0.004,0.019,0.038,0.06,0.082,0.082,0.08,0.126
BOS,0.005,0.017,0.035,0.05,0.053,0.053,0.052,0.058
BWI,0.007,0.013,0.019,0.019,0.018,0.026,0.027,0.015
CLT,0.002,0.016,0.029,0.039,0.035,0.037,0.039,0.052
DCA,0.005,0.017,0.03,0.046,0.051,0.049,0.062,0.012
DEN,0.005,0.029,0.052,0.052,0.085,0.091,0.096,0
DFW,0.009,0.07,0.124,0.141,0.19,0.201,0.202,0.253
DTW,0.006,0.015,0.033,0.043,0.049,0.074,0.048,0.095
EWR,0.006,0.02,0.038,0.057,0.066,0.057,0.07,0.109
IAH,0.003,0.025,0.059,0.085,0.127,0.125,0.171,0.152
JFK,0.008,0.026,0.045,0.067,0.063,0.079,0.064,0.17
LAS,0.004,0.02,0.046,0.066,0.057,0.183,0,0
LAX,0.003,0.005,0.01,0.015,0.023,0.014,0.031,0
LGA,0.007,0.027,0.041,0.064,0.068,0.076,0.102,0.07
MCO,0.004,0.019,0.039,0.055,0.07,0.057,0.116,0.079
MDW,0.006,0.022,0.038,0.051,0.046,0.122,0.067,0.095
MSP,0.006,0.014,0.03,0.038,0.059,0.093,0.071,0.235
ORD,0.01,0.049,0.075,0.085,0.106,0.102,0.135,0.252
PHL,0.003,0.015,0.034,0.048,0.048,0.084,0.053,0.072
PHX,0.002,0.01,0.021,0.043,0.043,0.066,0,0.052
SAN,0.003,0.008,0.021,0.026,0.051,0.032,0.065,0
SEA,0.003,0.006,0.009,0.013,0.011,0.008,0.013,0.01
SFO,0.004,0.006,0.01,0.017,0.026,0.021,0.08,0.028
SLC,0.003,0.013,0.021,0.014,0.001,0.021,0,0
TPA,0.004,0.018,0.031,0.042,0.057,0.068,0.09,0.186
