Origin,"{u'avehumidity': 63, u'maxhumidity': 0, u'avewind': {u'kph': 14, u'degrees': 0, u'dir': u'West', u'mph': 9}, u'icon_url': u'http://icons.wxug.com/i/c/k/partlycloudy.gif', u'snow_allday': {u'cm': 0.0, u'in': 0.0}, u'maxwind': {u'kph': 32, u'degrees': 0, u'dir': u'West', u'mph': 20}, u'minhumidity': 0, u'period': 1, u'pop': 10, u'skyicon': u'', u'high': {u'fahrenheit': u'78', u'celsius': u'25'}, u'qpf_night': {u'mm': 0, u'in': 0.0}, u'qpf_allday': {u'mm': 0, u'in': 0.0}, u'low': {u'fahrenheit': u'66', u'celsius': u'19'}, u'snow_night': {u'cm': 0.0, u'in': 0.0}, u'date': {u'tz_short': u'EDT', u'weekday_short': u'Mon', u'isdst': u'1', u'monthname': u'April', u'hour': 19, u'min': u'00', u'ampm': u'PM', u'tz_long': u'America/New_York', u'month': 4, u'epoch': u'1493074800', u'sec': 0, u'weekday': u'Monday', u'pretty': u'7:00 PM EDT on April 24, 2017', u'year': 2017, u'yday': 113, u'day': 24, u'monthname_short': u'Apr'}, u'snow_day': {u'cm': None, u'in': None}, u'qpf_day': {u'mm': None, u'in': None}, u'conditions': u'Partly Cloudy', u'icon': u'partlycloudy'}","{u'avehumidity': 51, u'maxhumidity': 0, u'avewind': {u'kph': 19, u'degrees': 274, u'dir': u'W', u'mph': 12}, u'icon_url': u'http://icons.wxug.com/i/c/k/partlycloudy.gif', u'snow_allday': {u'cm': 0.0, u'in': 0.0}, u'maxwind': {u'kph': 24, u'degrees': 274, u'dir': u'W', u'mph': 15}, u'minhumidity': 0, u'period': 2, u'pop': 10, u'skyicon': u'', u'high': {u'fahrenheit': u'81', u'celsius': u'27'}, u'qpf_night': {u'mm': 0, u'in': 0.0}, u'qpf_allday': {u'mm': 0, u'in': 0.0}, u'low': {u'fahrenheit': u'67', u'celsius': u'19'}, u'snow_night': {u'cm': 0.0, u'in': 0.0}, u'date': {u'tz_short': u'EDT', u'weekday_short': u'Tue', u'isdst': u'1', u'monthname': u'April', u'hour': 19, u'min': u'00', u'ampm': u'PM', u'tz_long': u'America/New_York', u'month': 4, u'epoch': u'1493161200', u'sec': 0, u'weekday': u'Tuesday', u'pretty': u'7:00 PM EDT on April 25, 2017', u'year': 2017, u'yday': 114, u'day': 25, u'monthname_short': u'Apr'}, u'snow_day': {u'cm': 0.0, u'in': 0.0}, u'qpf_day': {u'mm': 0, u'in': 0.0}, u'conditions': u'Partly Cloudy', u'icon': u'partlycloudy'}","{u'avehumidity': 55, u'maxhumidity': 0, u'avewind': {u'kph': 16, u'degrees': 200, u'dir': u'SSW', u'mph': 10}, u'icon_url': u'http://icons.wxug.com/i/c/k/partlycloudy.gif', u'snow_allday': {u'cm': 0.0, u'in': 0.0}, u'maxwind': {u'kph': 24, u'degrees': 200, u'dir': u'SSW', u'mph': 15}, u'minhumidity': 0, u'period': 3, u'pop': 10, u'skyicon': u'', u'high': {u'fahrenheit': u'82', u'celsius': u'28'}, u'qpf_night': {u'mm': 0, u'in': 0.0}, u'qpf_allday': {u'mm': 0, u'in': 0.0}, u'low': {u'fahrenheit': u'68', u'celsius': u'20'}, u'snow_night': {u'cm': 0.0, u'in': 0.0}, u'date': {u'tz_short': u'EDT', u'weekday_short': u'Wed', u'isdst': u'1', u'monthname': u'April', u'hour': 19, u'min': u'00', u'ampm': u'PM', u'tz_long': u'America/New_York', u'month': 4, u'epoch': u'1493247600', u'sec': 0, u'weekday': u'Wednesday', u'pretty': u'7:00 PM EDT on April 26, 2017', u'year': 2017, u'yday': 115, u'day': 26, u'monthname_short': u'Apr'}, u'snow_day': {u'cm': 0.0, u'in': 0.0}, u'qpf_day': {u'mm': 0, u'in': 0.0}, u'conditions': u'Partly Cloudy', u'icon': u'partlycloudy'}","{u'avehumidity': 57, u'maxhumidity': 0, u'avewind': {u'kph': 21, u'degrees': 188, u'dir': u'S', u'mph': 13}, u'icon_url': u'http://icons.wxug.com/i/c/k/clear.gif', u'snow_allday': {u'cm': 0.0, u'in': 0.0}, u'maxwind': {u'kph': 32, u'degrees': 188, u'dir': u'S', u'mph': 20}, u'minhumidity': 0, u'period': 4, u'pop': 10, u'skyicon': u'', u'high': {u'fahrenheit': u'89', u'celsius': u'32'}, u'qpf_night': {u'mm': 0, u'in': 0.0}, u'qpf_allday': {u'mm': 0, u'in': 0.0}, u'low': {u'fahrenheit': u'72', u'celsius': u'22'}, u'snow_night': {u'cm': 0.0, u'in': 0.0}, u'date': {u'tz_short': u'EDT', u'weekday_short': u'Thu', u'isdst': u'1', u'monthname': u'April', u'hour': 19, u'min': u'00', u'ampm': u'PM', u'tz_long': u'America/New_York', u'month': 4, u'epoch': u'1493334000', u'sec': 0, u'weekday': u'Thursday', u'pretty': u'7:00 PM EDT on April 27, 2017', u'year': 2017, u'yday': 116, u'day': 27, u'monthname_short': u'Apr'}, u'snow_day': {u'cm': 0.0, u'in': 0.0}, u'qpf_day': {u'mm': 0, u'in': 0.0}, u'conditions': u'Clear', u'icon': u'clear'}","{u'avehumidity': 55, u'maxhumidity': 0, u'avewind': {u'kph': 18, u'degrees': 178, u'dir': u'S', u'mph': 11}, u'icon_url': u'http://icons.wxug.com/i/c/k/clear.gif', u'snow_allday': {u'cm': 0.0, u'in': 0.0}, u'maxwind': {u'kph': 24, u'degrees': 178, u'dir': u'S', u'mph': 15}, u'minhumidity': 0, u'period': 5, u'pop': 10, u'skyicon': u'', u'high': {u'fahrenheit': u'93', u'celsius': u'34'}, u'qpf_night': {u'mm': 0, u'in': 0.0}, u'qpf_allday': {u'mm': 0, u'in': 0.0}, u'low': {u'fahrenheit': u'74', u'celsius': u'23'}, u'snow_night': {u'cm': 0.0, u'in': 0.0}, u'date': {u'tz_short': u'EDT', u'weekday_short': u'Fri', u'isdst': u'1', u'monthname': u'April', u'hour': 19, u'min': u'00', u'ampm': u'PM', u'tz_long': u'America/New_York', u'month': 4, u'epoch': u'1493420400', u'sec': 0, u'weekday': u'Friday', u'pretty': u'7:00 PM EDT on April 28, 2017', u'year': 2017, u'yday': 117, u'day': 28, u'monthname_short': u'Apr'}, u'snow_day': {u'cm': 0.0, u'in': 0.0}, u'qpf_day': {u'mm': 0, u'in': 0.0}, u'conditions': u'Clear', u'icon': u'clear'}","{u'avehumidity': 55, u'maxhumidity': 0, u'avewind': {u'kph': 19, u'degrees': 162, u'dir': u'SSE', u'mph': 12}, u'icon_url': u'http://icons.wxug.com/i/c/k/clear.gif', u'snow_allday': {u'cm': 0.0, u'in': 0.0}, u'maxwind': {u'kph': 24, u'degrees': 162, u'dir': u'SSE', u'mph': 15}, u'minhumidity': 0, u'period': 6, u'pop': 10, u'skyicon': u'', u'high': {u'fahrenheit': u'93', u'celsius': u'34'}, u'qpf_night': {u'mm': 0, u'in': 0.0}, u'qpf_allday': {u'mm': 0, u'in': 0.0}, u'low': {u'fahrenheit': u'73', u'celsius': u'23'}, u'snow_night': {u'cm': 0.0, u'in': 0.0}, u'date': {u'tz_short': u'EDT', u'weekday_short': u'Sat', u'isdst': u'1', u'monthname': u'April', u'hour': 19, u'min': u'00', u'ampm': u'PM', u'tz_long': u'America/New_York', u'month': 4, u'epoch': u'1493506800', u'sec': 0, u'weekday': u'Saturday', u'pretty': u'7:00 PM EDT on April 29, 2017', u'year': 2017, u'yday': 118, u'day': 29, u'monthname_short': u'Apr'}, u'snow_day': {u'cm': 0.0, u'in': 0.0}, u'qpf_day': {u'mm': 0, u'in': 0.0}, u'conditions': u'Clear', u'icon': u'clear'}","{u'avehumidity': 55, u'maxhumidity': 0, u'avewind': {u'kph': 23, u'degrees': 169, u'dir': u'S', u'mph': 14}, u'icon_url': u'http://icons.wxug.com/i/c/k/partlycloudy.gif', u'snow_allday': {u'cm': 0.0, u'in': 0.0}, u'maxwind': {u'kph': 32, u'degrees': 169, u'dir': u'S', u'mph': 20}, u'minhumidity': 0, u'period': 7, u'pop': 10, u'skyicon': u'', u'high': {u'fahrenheit': u'93', u'celsius': u'34'}, u'qpf_night': {u'mm': 0, u'in': 0.0}, u'qpf_allday': {u'mm': 0, u'in': 0.0}, u'low': {u'fahrenheit': u'73', u'celsius': u'23'}, u'snow_night': {u'cm': 0.0, u'in': 0.0}, u'date': {u'tz_short': u'EDT', u'weekday_short': u'Sun', u'isdst': u'1', u'monthname': u'April', u'hour': 19, u'min': u'00', u'ampm': u'PM', u'tz_long': u'America/New_York', u'month': 4, u'epoch': u'1493593200', u'sec': 0, u'weekday': u'Sunday', u'pretty': u'7:00 PM EDT on April 30, 2017', u'year': 2017, u'yday': 119, u'day': 30, u'monthname_short': u'Apr'}, u'snow_day': {u'cm': 0.0, u'in': 0.0}, u'qpf_day': {u'mm': 0, u'in': 0.0}, u'conditions': u'Partly Cloudy', u'icon': u'partlycloudy'}","{u'avehumidity': 60, u'maxhumidity': 0, u'avewind': {u'kph': 29, u'degrees': 190, u'dir': u'S', u'mph': 18}, u'icon_url': u'http://icons.wxug.com/i/c/k/partlycloudy.gif', u'snow_allday': {u'cm': 0.0, u'in': 0.0}, u'maxwind': {u'kph': 40, u'degrees': 190, u'dir': u'S', u'mph': 25}, u'minhumidity': 0, u'period': 8, u'pop': 10, u'skyicon': u'', u'high': {u'fahrenheit': u'89', u'celsius': u'32'}, u'qpf_night': {u'mm': 4, u'in': 0.16}, u'qpf_allday': {u'mm': 4, u'in': 0.16}, u'low': {u'fahrenheit': u'73', u'celsius': u'23'}, u'snow_night': {u'cm': 0.0, u'in': 0.0}, u'date': {u'tz_short': u'EDT', u'weekday_short': u'Mon', u'isdst': u'1', u'monthname': u'May', u'hour': 19, u'min': u'00', u'ampm': u'PM', u'tz_long': u'America/New_York', u'month': 5, u'epoch': u'1493679600', u'sec': 0, u'weekday': u'Monday', u'pretty': u'7:00 PM EDT on May 01, 2017', u'year': 2017, u'yday': 120, u'day': 1, u'monthname_short': u'May'}, u'snow_day': {u'cm': 0.0, u'in': 0.0}, u'qpf_day': {u'mm': 0, u'in': 0.0}, u'conditions': u'Partly Cloudy', u'icon': u'partlycloudy'}","{u'avehumidity': 61, u'maxhumidity': 0, u'avewind': {u'kph': 16, u'degrees': 282, u'dir': u'WNW', u'mph': 10}, u'icon_url': u'http://icons.wxug.com/i/c/k/chancetstorms.gif', u'snow_allday': {u'cm': 0.0, u'in': 0.0}, u'maxwind': {u'kph': 24, u'degrees': 282, u'dir': u'WNW', u'mph': 15}, u'minhumidity': 0, u'period': 9, u'pop': 60, u'skyicon': u'', u'high': {u'fahrenheit': u'85', u'celsius': u'29'}, u'qpf_night': {u'mm': 9, u'in': 0.35}, u'qpf_allday': {u'mm': 13, u'in': 0.51}, u'low': {u'fahrenheit': u'71', u'celsius': u'22'}, u'snow_night': {u'cm': 0.0, u'in': 0.0}, u'date': {u'tz_short': u'EDT', u'weekday_short': u'Tue', u'isdst': u'1', u'monthname': u'May', u'hour': 19, u'min': u'00', u'ampm': u'PM', u'tz_long': u'America/New_York', u'month': 5, u'epoch': u'1493766000', u'sec': 0, u'weekday': u'Tuesday', u'pretty': u'7:00 PM EDT on May 02, 2017', u'year': 2017, u'yday': 121, u'day': 2, u'monthname_short': u'May'}, u'snow_day': {u'cm': 0.0, u'in': 0.0}, u'qpf_day': {u'mm': 4, u'in': 0.15}, u'conditions': u'Chance of a Thunderstorm', u'icon': u'chancetstorms'}","{u'avehumidity': 48, u'maxhumidity': 0, u'avewind': {u'kph': 16, u'degrees': 169, u'dir': u'S', u'mph': 10}, u'icon_url': u'http://icons.wxug.com/i/c/k/chancerain.gif', u'snow_allday': {u'cm': 0.0, u'in': 0.0}, u'maxwind': {u'kph': 24, u'degrees': 169, u'dir': u'S', u'mph': 15}, u'minhumidity': 0, u'period': 10, u'pop': 60, u'skyicon': u'', u'high': {u'fahrenheit': u'87', u'celsius': u'31'}, u'qpf_night': {u'mm': 0, u'in': 0.0}, u'qpf_allday': {u'mm': 5, u'in': 0.21}, u'low': {u'fahrenheit': u'70', u'celsius': u'21'}, u'snow_night': {u'cm': 0.0, u'in': 0.0}, u'date': {u'tz_short': u'EDT', u'weekday_short': u'Wed', u'isdst': u'1', u'monthname': u'May', u'hour': 19, u'min': u'00', u'ampm': u'PM', u'tz_long': u'America/New_York', u'month': 5, u'epoch': u'1493852400', u'sec': 0, u'weekday': u'Wednesday', u'pretty': u'7:00 PM EDT on May 03, 2017', u'year': 2017, u'yday': 122, u'day': 3, u'monthname_short': u'May'}, u'snow_day': {u'cm': 0.0, u'in': 0.0}, u'qpf_day': {u'mm': 5, u'in': 0.21}, u'conditions': u'Chance of Rain', u'icon': u'chancerain'}"
JFK,8.0,19.0,8.0,2.0,2.0,2.0,8.0,8.0,8.0,2.0
ATL,4.0,4.0,4.0,21.0,4.0,4.0,21.0,41.0,4.0,4.0
BOS,2.0,17.0,11.0,2.0,5.0,5.0,11.0,5.0,5.0,2.0
MSP,2.0,13.0,5.0,5.0,2.0,5.0,5.0,2.0,5.0,5.0
DEN,18.0,18.0,3.0,18.0,33.0,33.0,3.0,3.0,18.0,3.0
DTW,2.0,2.0,2.0,6.0,6.0,6.0,16.0,6.0,2.0,2.0
SAN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DCA,4.0,6.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0
SEA,1.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0
BWI,4.0,5.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,2.0
MDW,1.0,1.0,12.0,5.0,5.0,12.0,12.0,5.0,1.0,5.0
IAH,1.0,1.0,12.0,1.0,1.0,28.0,12.0,1.0,1.0,1.0
TPA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,3.0
DFW,7.0,51.0,7.0,7.0,7.0,91.0,7.0,7.0,7.0,7.0
CLT,13.0,5.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0
EWR,7.0,22.0,7.0,2.0,2.0,2.0,7.0,7.0,7.0,2.0
SLC,7.0,4.0,7.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0
MCO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0
PHL,3.0,11.0,1.0,1.0,1.0,3.0,3.0,8.0,3.0,1.0
LGA,8.0,20.0,8.0,2.0,2.0,2.0,8.0,8.0,8.0,2.0
SFO,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
PHX,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LAX,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
ORD,9.0,9.0,73.0,42.0,42.0,64.0,73.0,42.0,9.0,42.0
LAS,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
